id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_balita_stunting,satuan,tahun
135,32,JAWA BARAT,3279,KOTA BANJAR,8.24,PERSEN,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,4.06,PERSEN,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8.29,PERSEN,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.61,PERSEN,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7.32,PERSEN,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,4.8,PERSEN,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.06,PERSEN,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.33,PERSEN,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8.4,PERSEN,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.93,PERSEN,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.27,PERSEN,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.77,PERSEN,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15.39,PERSEN,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2.2,PERSEN,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4.6,PERSEN,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4.17,PERSEN,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,3.42,PERSEN,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.6,PERSEN,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,21.67,PERSEN,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,4.54,PERSEN,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,9.31,PERSEN,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,6.53,PERSEN,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,11.21,PERSEN,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,10.69,PERSEN,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,4.55,PERSEN,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,9.06,PERSEN,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10.95,PERSEN,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,7.61,PERSEN,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.47,PERSEN,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.89,PERSEN,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.4,PERSEN,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15.77,PERSEN,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,6.39,PERSEN,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18.97,PERSEN,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11.24,PERSEN,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.98,PERSEN,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,13.89,PERSEN,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.29,PERSEN,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.91,PERSEN,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.23,PERSEN,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,5.17,PERSEN,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12.69,PERSEN,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2.54,PERSEN,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,4.27,PERSEN,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13.57,PERSEN,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5.87,PERSEN,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,7.65,PERSEN,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,7.32,PERSEN,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,8.86,PERSEN,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,13.75,PERSEN,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,10.35,PERSEN,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,8.09,PERSEN,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,11.52,PERSEN,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17.57,PERSEN,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,13.81,PERSEN,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,9.59,PERSEN,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.33,PERSEN,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4.23,PERSEN,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.85,PERSEN,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,4.78,PERSEN,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14.93,PERSEN,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4.83,PERSEN,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5.37,PERSEN,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,9.36,PERSEN,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3.52,PERSEN,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.03,PERSEN,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.83,PERSEN,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2.45,PERSEN,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5.58,PERSEN,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2.3,PERSEN,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,3.92,PERSEN,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.85,PERSEN,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4.2,PERSEN,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,5.4,PERSEN,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,5.9,PERSEN,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,7.83,PERSEN,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,13.39,PERSEN,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,7.87,PERSEN,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,3.51,PERSEN,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,9.94,PERSEN,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15.46,PERSEN,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,8.85,PERSEN,2021
